"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
0,"Black",0,0,0,0,"","","","","","","","","","","","","","",""
1,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
2,"Peach",255,204,179,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
3,"Brain",255,255,255,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
4,"Ventricles",102,179,255,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
5,"Vessels",230,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
6,"Tumor",128,230,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
7,"fMRI-high",128,230,230,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
8,"fMRI-low",230,230,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
9,"Pre-Gyrus",230,179,230,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
10,"Post-Gyrus",230,230,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
11,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
12,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
13,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
14,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
15,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
16,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
17,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
18,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
19,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
20,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
21,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
22,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
23,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
24,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
25,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
26,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
27,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
28,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
29,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
30,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
31,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
32,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
33,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
34,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
35,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
36,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
37,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
38,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
39,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
40,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
41,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
42,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
43,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
44,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
45,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
46,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
47,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
48,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
49,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
50,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
51,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
52,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
53,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
54,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
55,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
56,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
57,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
58,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
59,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
60,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
61,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
62,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
63,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
64,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
65,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
66,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
67,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
68,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
69,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
70,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
71,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
72,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
73,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
74,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
75,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
76,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
77,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
78,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
79,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
80,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
81,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
82,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
83,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
84,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
85,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
86,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
87,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
88,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
89,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
90,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
91,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
92,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
93,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
94,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
95,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
96,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
97,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
98,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
99,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
100,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
101,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
102,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
103,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
104,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
105,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
106,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
107,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
108,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
109,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
110,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
111,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
112,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
113,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
114,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
115,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
116,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
117,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
118,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
119,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
120,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
121,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
122,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
123,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
124,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
125,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
126,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
127,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
128,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
129,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
130,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
131,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
132,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
133,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
134,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
135,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
136,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
137,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
138,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
139,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
140,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
141,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
142,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
143,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
144,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
145,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
146,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
147,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
148,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
149,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
150,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
151,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
152,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
153,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
154,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
155,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
156,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
157,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
158,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
159,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
160,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
161,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
162,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
163,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
164,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
165,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
166,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
167,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
168,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
169,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
170,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
171,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
172,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
173,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
174,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
175,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
176,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
177,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
178,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
179,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
180,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
181,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
182,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
183,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
184,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
185,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
186,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
187,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
188,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
189,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
190,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
191,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
192,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
193,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
194,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
195,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
196,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
197,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
198,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
199,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
200,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
201,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
202,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
203,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
204,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
205,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
206,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
207,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
208,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
209,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
210,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
211,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
212,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
213,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
214,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
215,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
216,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
217,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
218,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
219,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
220,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
221,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
222,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
223,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
224,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
225,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
226,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
227,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
228,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
229,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
230,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
231,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
232,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
233,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
234,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
235,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
236,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
237,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
238,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
239,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
240,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
241,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
242,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
243,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
244,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
245,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
246,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
247,"monk",51,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
248,"forest",204,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
249,"dylan",51,204,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
250,"kales",128,128,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
251,"jake",51,128,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
252,"elwood",51,204,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
253,"gato",204,128,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
254,"avery",204,51,128,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
255,"mambazo",128,51,204,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
256,"domino",128,204,51,255,"SCT","85756007","Tissue","SCT","85756007","Tissue","","","","","","","","",""
